"ts_run","run_id","story_id","topstories_rank","beststories_rank","newstories_rank","status","score","descendants"
"2021-06-02 15:45:01",83217,27370026,,,1,"new",1,0
"2021-06-02 15:50:01",83218,27370026,,,9,"new",2,0
"2021-06-02 15:55:01",83219,27370026,29,,13,"new",6,0
"2021-06-02 16:00:02",83220,27370026,4,,18,"new",51,2
"2021-06-02 16:05:01",83221,27370026,2,174,26,"new",86,8
"2021-06-02 16:10:01",83222,27370026,2,123,35,"new",129,21
"2021-06-02 16:15:01",83223,27370026,1,95,37,"new",159,34
"2021-06-02 16:20:01",83224,27370026,1,78,41,"new",195,48
"2021-06-02 16:25:01",83225,27370026,1,59,52,"new",231,61
"2021-06-02 16:30:01",83226,27370026,1,49,53,"new",261,70
"2021-06-02 16:35:01",83227,27370026,1,36,57,"new",291,86
"2021-06-02 16:40:01",83228,27370026,1,32,60,"new",319,101
"2021-06-02 16:45:01",83229,27370026,1,29,68,"hot",357,118
"2021-06-02 16:50:01",83230,27370026,1,25,73,"hot",390,132
"2021-06-02 16:55:01",83231,27370026,1,20,77,"hot",425,145
"2021-06-02 17:00:01",83232,27370026,1,18,85,"hot",450,158
"2021-06-02 17:05:01",83233,27370026,1,15,94,"hot",476,169
"2021-06-02 17:10:01",83234,27370026,1,14,99,"hot",496,185
"2021-06-02 17:15:01",83235,27370026,1,13,102,"hot",519,195
"2021-06-02 17:20:01",83236,27370026,1,12,109,"hot",543,209
"2021-06-02 17:25:01",83237,27370026,1,11,111,"hot",568,219
"2021-06-02 17:30:01",83238,27370026,1,10,114,"hot",592,228
"2021-06-02 17:35:01",83239,27370026,1,10,118,"hot",619,239
"2021-06-02 17:40:01",83240,27370026,1,8,124,"hot",639,251
"2021-06-02 17:45:01",83241,27370026,1,8,126,"hot",657,261
"2021-06-02 17:50:01",83242,27370026,1,8,129,"hot",672,270
"2021-06-02 17:55:01",83243,27370026,1,8,135,"hot",692,278
"2021-06-02 18:00:01",83244,27370026,1,8,138,"hot",711,287
"2021-06-02 18:05:01",83245,27370026,1,8,141,"hot",743,297
"2021-06-02 18:10:01",83246,27370026,1,8,148,"hot",770,304
"2021-06-02 18:15:01",83247,27370026,1,8,150,"hot",799,313
"2021-06-02 18:20:01",83248,27370026,1,8,154,"hot",816,318
"2021-06-02 18:25:01",83249,27370026,1,8,158,"hot",829,327
"2021-06-02 18:30:01",83250,27370026,1,8,168,"hot",842,340
"2021-06-02 18:35:01",83251,27370026,1,7,172,"hot",863,349
"2021-06-02 18:40:01",83252,27370026,1,7,179,"hot",879,353
"2021-06-02 18:45:02",83253,27370026,1,7,183,"hot",897,355
"2021-06-02 18:50:01",83254,27370026,1,7,190,"hot",919,366
"2021-06-02 18:55:01",83255,27370026,1,7,197,"hot",929,372
"2021-06-02 19:00:02",83256,27370026,1,6,197,"hot",948,375
"2021-06-02 19:05:01",83257,27370026,1,6,199,"hot",963,381
"2021-06-02 19:10:02",83258,27370026,1,6,202,"hot",973,386
"2021-06-02 19:15:01",83259,27370026,1,5,202,"hot",982,393
"2021-06-02 19:20:01",83260,27370026,1,5,204,"hot",988,397
"2021-06-02 19:25:01",83261,27370026,1,5,209,"hot",1002,399
"2021-06-02 19:30:02",83262,27370026,1,4,212,"hot",1020,405
"2021-06-02 19:35:01",83263,27370026,1,4,214,"hot",1034,412
"2021-06-02 19:40:01",83264,27370026,1,3,217,"hot",1045,416
"2021-06-02 19:45:01",83265,27370026,1,2,219,"hot",1066,424
"2021-06-02 19:50:01",83266,27370026,1,2,221,"hot",1080,430
"2021-06-02 19:55:01",83267,27370026,1,2,224,"hot",1094,436
"2021-06-02 20:00:01",83268,27370026,1,2,232,"hot",1108,453
"2021-06-02 20:05:01",83269,27370026,1,2,241,"hot",1119,454
"2021-06-02 20:10:01",83270,27370026,1,2,250,"hot",1133,463
"2021-06-02 20:15:01",83271,27370026,1,2,253,"hot",1143,470
"2021-06-02 20:20:01",83272,27370026,1,2,255,"hot",1156,479
"2021-06-02 20:25:01",83273,27370026,1,2,260,"hot",1168,485
"2021-06-02 20:30:01",83274,27370026,1,1,261,"hot",1180,488
"2021-06-02 20:35:01",83275,27370026,1,1,264,"hot",1192,498
"2021-06-02 20:40:01",83276,27370026,1,1,268,"hot",1204,505
"2021-06-02 20:45:01",83277,27370026,1,1,270,"hot",1212,512
"2021-06-02 20:50:01",83278,27370026,1,1,278,"hot",1225,515
"2021-06-02 20:55:01",83279,27370026,1,1,280,"hot",1237,517
"2021-06-02 21:00:01",83280,27370026,1,1,283,"hot",1248,521
"2021-06-02 21:05:01",83281,27370026,1,1,289,"hot",1257,525
"2021-06-02 21:10:01",83282,27370026,1,1,293,"hot",1264,530
"2021-06-02 21:15:01",83283,27370026,1,1,297,"hot",1277,538
"2021-06-02 21:20:01",83284,27370026,1,1,300,"hot",1284,543
"2021-06-02 21:25:01",83285,27370026,1,1,302,"hot",1299,546
